Element,Z,Eg,Ip1,Ip2,Ea,Homo,Lumo,Ros,Rop,Rod,Ra,Rv,Rc,Vl,Pc,Pc18,Pr,Uo,Plz,M,Mel,Boi,de
Ce,58,1.12,534.4,1050,-0.65,,,,,,,,2.04,4,3,3,6,22,204.7,140.116,1068,3716,6.77
Pr,59,1.13,527,1020,-0.962,,,,,,2.4,,2.03,5,3,3,6,11,215.8,140.90766,1208,3403,6.77
Nd,60,1.14,533.1,1040,-0.5182,,,,,,2.39,,2.01,6,3,3,6,10,208.4,144.242,1297,3347,7.01
Pm,61,1.13,540,1050,-0.5182,,,,,,,,1.99,7,3,3,6,9,200.2,145,1315,3273,7.26
Sm,62,1.17,544.5,1070,-0.5182,,,,,,,,1.98,8,3,3,6,8,192.1,150.36,1345,2173,7.52
Eu,63,1.2,547.1,1085,-0.864,,,,,,2.35,,1.98,9,3,3,6,7,184.2,151.964,1099,1802,5.264
Gd,64,1.2,593.4,1170,-0.5182,,,,,,,,1.96,10,3,3,6,16,158.3,157.25,1585,3273,7.9
Tb,65,1.2,565.8,1110,-0.5182,,,,,,,,1.94,11,3,3,6,5,169.5,158.92535,1629,3503,8.23
Dy,66,1.22,573,1130,-0.5182,,,,,,,,1.92,12,3,3,6,4,162.7,162.5,1680,2840,8.54
Ho,67,1.23,581,1140,-0.5182,,,,,,2.3,,1.92,13,3,3,6,3,156.3,164.93033,1734,2873,8.79
Er,68,1.24,589.3,1150,-0.5182,,,,,,,,1.89,14,3,3,6,2,150.2,167.259,1802,3141,9.066
Tm,69,1.25,596.7,1160,-1.029,,,,,,2.27,,1.9,15,3,3,6,1,144.3,168.93422,1818,2223,9.32
Yb,70,1.1,603.4,1174.8,0.02,,,,,,2.26,,1.87,16,3,3,6,0,138.9,173.054,1097,1469,6.9
Lu,71,1.27,523.5,1340,-0.3401,,,,,,1.6,,1.87,17,3,3,6,9,137.2,174.9668,1925,3675,9.841
Hf,72,1.3,658.5,1440,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18,4,4,6,8,109,178.49,2506,4876,13.31
Ta,73,1.5,761,1500,0.2096,-3.5963,-0.4436,1.4665,1.6644,0.837,1.38,0.837,1.7,19,5,5,6,7,88,180.94788,3290,5731,16.69
W,74,2.36,770,1700,-0.4374,-4.4864,-0.3665,1.4074,1.6061,0.7906,1.46,0.7906,1.62,20,6,6,6,6,75,183.84,3695,5933,19.25
Re,75,1.9,760,1260,-1.0563,-5.3736,-0.267,1.3561,1.5549,0.7516,1.59,0.7516,1.51,21,7,7,6,5,65,186.207,3459,5869,21.02
Os,76,2.2,840,1600,-1.8446,-6.0059,-0.0685,1.3156,1.5096,0.719,1.28,0.719,1.44,22,8,8,6,4,57,190.23,3306,5285,22.59
Ir,77,2.2,880,1600,-2.541,-5.6901,0.5069,0.9966,1.4695,0.6939,1.37,0.6939,1.41,23,9,9,6,3,51,192.217,2739,4701,22.56
Pt,78,2.28,870,1791,-2.2143,-5.312,0.8213,0.9879,1.4721,0.6707,1.28,0.6707,1.36,24,10,10,6,2,44,195.084,2041.4,4098,21.45
Au,79,2.54,890.1,1980,-2.3142,-5.7531,0.7024,1.2274,1.4369,0.6436,1.44,1.2274,1.36,25,1,11,6,1,36.1,196.966569,1337.33,3129,19.3
Hg,80,2,1007.1,1810,1.688,-6.808,0.8594,1.1675,1.8734,0.6158,1.49,1.1675,1.32,26,2,12,6,0,34.27,200.59,234.32,629.88,13.534
Tl,81,2.04,589.4,1971,0.0916,-2.3692,2.6329,1.0974,1.5446,0.5904,1.48,1.5446,1.45,27,3,13,6,5,51.6,204.38,577,1746,11.85
Pb,82,2.33,715.6,1450.5,-0.7047,-3.496,2.5655,1.0396,1.4049,0.5676,1.47,1.4049,1.46,28,4,14,6,4,47.71,207.2,600.61,2022,11.34
Bi,83,2.02,703,1610,-1.5162,-4.5686,2.1526,0.9899,1.3017,0.5469,1.46,1.3017,1.48,29,5,15,6,3,50,208.9804,544.7,1837,9.78
Po,84,2,812.1, ,-2.2911,-5.6192,3.6676,0.9462,1.2195,0.5281,,1.2195,1.4,30,6,16,6,2,46,209,527,1235,9.196
At,85,2.2,899.003, ,-3.0973,-6.6636,4.1368,0.9072,1.1513,0.5109,,1.1513,1.5,31,7,17,6,1,43,210,575,610,6.35
Rn,86,2.2,1037, ,4.1935,-7.7111,1.5865,0.872,1.0932,0.4951,1.45,1.0932,1.5,32,8,18,6,0,34.33,222,202,211.5,0.00973
Fr,87,0.7,,,-0.5341,-2.1686,-0.266,,,,,,2.6,1,1,1,,1,315.2,,,,
Ra,88,0.9,,,1.1704,-3.2801,-1.1691,,,,,,2.21,2,2,2,,0,242.8,,,,
Ac,89,1.1,,,,,,,,,,,2.15,3,3,3,,9,203.3,,,,
Th,90,1.3,,,,,,,,,,,2.06,4,3,3,,8,203.3,,,,
Pa,91,1.5,,,,,,,,,,,2,5,3,3,,21,154.4,,,,
U,92,1.38,,,,,,,,,,,1.96,6,3,3,,20,127.8,,,,
Np,93,1.36,,,,,,,,,,,1.9,7,3,3,,19,150.5,,,,
Pu,94,1.28,,,,,,,,,,,1.87,8,3,3,,8,132.2,,,,
Am,95,1.3,,,,,,,,,,,1.8,9,3,3,,7,131.2,,,,
Cm,96,1.3,,,,,,,,,,,1.69,10,3,3,,16,143.6,,,,
Bk,97,1.3,,,,,,,,,,,,11,3,3,,5,125.3,,,,
Cf,98,1.3,,,,,,,,,,,,12,3,3,,4,121.5,,,,
Es,99,1.3,,,,,,,,,,,,13,3,3,,3,117.5,,,,
Fm,100,1.3,,,,,,,,,,,,14,3,3,,2,113.4,,,,
Md,101,1.3,,,,,,,,,,,,15,3,3,,1,109.4,,,,
No,102,1.3,,,,,,,,,,,,16,3,3,,0,105.4,,,,
Lr,103,1.3,,,,,,,,,,,,17,3,3,,5,,,,,
Rf,104,,,,,,,,,,,,,18,4,4,,8,,,,,
Db,105,,,,,,,,,,,,,19,5,5,,7,42.5,,,,
Sg,106,,,,,,,,,,,,,20,6,6,,6,40.7,,,,
Bh,107,,,,,,,,,,,,,21,7,7,,5,38.4,,,,
Hs,108,,,,,,,,,,,,,22,8,8,,4,36.2,,,,
Mt,109,,,,,,,,,,,,,23,9,9,,3,34.2,,,,
Ds,110,,,,,,,,,,,,,24,10,10,,2,32.3,,,,
Rg,111,,,,,,,,,,,,,25,11,11,,1,30.6,,,,
Cn,112,,,,,,,,,,,,,26,12,12,,0,29,,,,
Nh,113,,,,,,,,,,,,,,,,,,29.9,,,,
Fl,114,,,,,,,,,,,,,,,,,,30.59,,,,
Mc,115,,,,,,,,,,,,,,,,,,,,,,
Lv,116,,,,,,,,,,,,,,,,,,,,,,
Ts,117,,,,,,,,,,,,,,,,,,,,,,
Og,118,,,,,,,,,,,,,,,,,,46.33,,,,
